year,match_id,team,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h,date,stadium_name,latitude,longitude,wc_year,rest_days,prev_lat,prev_lon,travel_km
2002,2002_357,Japan,0,1,0,0,2002-06-09,Nissan Stadium,,,2002,5,,,
2002,2002_336,Japan,0,2,0,0,2002-06-14,Yanmar Stadium Nagai,,,2002,5,,,
2002,2002_328,Japan,0,0,1,0,2002-06-18,Miyagi Stadium,,,2002,4,,,
2006,2006_309,Japan,1,0,0,3,2006-06-12,Fritz-Walter-Stadion,,,2006,-1,,,
2006,2006_291,Japan,0,0,0,0,2006-06-18,Max-Morlock-Stadion,,,2006,6,,,
2006,2006_278,Japan,1,0,1,3,2006-06-22,Signal Iduna Park,51.5142273,7.4652789,2006,4,,,
2010,2010_246,Japan,1,0,0,0,2010-06-14,Toyota Stadium,,,2010,-1,,,
2010,2010_230,Japan,0,0,0,1,2010-06-19,Moses Mabhida Stadium,-29.861825,31.009909,2010,5,,,
2010,2010_214,Japan,2,1,0,1,2010-06-24,Royal Bafokeng Stadium,-25.3487816,27.0950203,2010,5,-29.861825,31.009909,632.8419150588766
2010,2010_200,Japan,0,0,0,0,2010-06-29,Loftus Versfeld Stadium,,,2010,5,-25.3487816,27.0950203,
2014,2014_187,Japan,1,0,0,2,2014-06-14,Itaipava Arena Pernambuco,,,2014,-1,,,
2014,2014_171,Japan,0,0,0,0,2014-06-19,Arena das Dunas,,,2014,5,,,
2014,2014_154,Japan,1,0,0,3,2014-06-24,Arena Pantanal,,,2014,5,,,
2018,2018_111,Japan,0,1,1,0,2018-06-19,Mordovia Arena,,,2018,-1,,,
2018,2018_97,Japan,1,1,1,1,2018-06-24,Stadion Central'nyj,,,2018,5,,,
2018,2018_80,Japan,0,0,0,1,2018-06-28,Volgograd Arena,,,2018,4,,,
2018,2018_75,Japan,0,2,0,3,2018-07-02,Rostov Arena,,,2018,4,,,
2022,2022_53,Japan,0,2,0,0,2022-11-23,Khalifa International Stadium,25.3108807,51.5081812,2022,-1,,,
2022,2022_36,Japan,0,0,0,1,2022-11-27,Ahmed bin Ali Stadium,,,2022,4,25.3108807,51.5081812,
2022,2022_23,Japan,0,2,1,0,2022-12-01,Khalifa International Stadium,25.3108807,51.5081812,2022,4,,,
2022,2022_10,Japan,1,0,0,1,2022-12-05,Al Janoub Stadium,25.0037453,51.4103338,2022,4,25.3108807,51.5081812,35.54344686853213
2010,2010_244,Korea DPR,0,1,0,2,2010-06-15,Emirates Airline Park,,,2010,-1,,,
2010,2010_224,Korea DPR,0,0,1,6,2010-06-21,Cape Town Stadium,,,2010,6,,,
2010,2010_209,Korea DPR,0,0,2,1,2010-06-25,Mbombela Stadium,-25.4729094,30.9772719,2010,4,,,
2002,2002_372,Korea Republic,1,1,0,0,2002-06-04,Busan Sport Complex Asiad Stadium,,,2002,-1,,,
2002,2002_352,Korea Republic,0,1,1,0,2002-06-10,Daegu Main Stadium,,,2002,6,,,
2002,2002_338,Korea Republic,0,1,0,0,2002-06-14,Incheon Munhak Stadium,,,2002,4,,,
2002,2002_329,Korea Republic,0,2,1,0,2002-06-18,Daejeon World Cup Stadium,,,2002,4,,,
2002,2002_324,Korea Republic,0,0,0,0,2002-06-22,Guus Hiddink Stadium,,,2002,4,,,
2002,2002_323,Korea Republic,0,0,0,1,2002-06-25,Seoul World Cup Stadium,37.5666791,126.9782914,2002,3,,,
2002,2002_321,Korea Republic,1,1,3,0,2002-06-29,Daegu Main Stadium,,,2002,4,37.5666791,126.9782914,
2006,2006_306,Korea Republic,0,2,1,0,2006-06-13,Commerzbank-Arena,,,2006,-1,,,
2006,2006_293,Korea Republic,0,1,1,0,2006-06-18,Red Bull Arena,,,2006,5,,,
2006,2006_275,Korea Republic,0,0,1,1,2006-06-23,HDI-Arena,,,2006,5,,,
2010,2010_251,Korea Republic,1,1,0,0,2010-06-12,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,-1,,,
2010,2010_236,Korea Republic,1,0,1,2,2010-06-17,Soccer City,-26.205,28.049722,2010,5,-33.9618598,25.6186731,893.582323552711
2010,2010_222,Korea Republic,1,1,1,0,2010-06-22,Moses Mabhida Stadium,-29.861825,31.009909,2010,5,-26.205,28.049722,499.69571323952306
2010,2010_206,Korea Republic,0,1,1,1,2010-06-26,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,4,-29.861825,31.009909,683.0140719460456
2014,2014_177,Korea Republic,0,1,0,1,2014-06-17,Arena Pantanal,,,2014,-1,,,
2014,2014_161,Korea Republic,0,2,3,1,2014-06-22,Estádio José Pinheiro Borba,,,2014,5,,,
2014,2014_146,Korea Republic,0,0,0,1,2014-06-26,Arena Corinthians,-23.5506507,-46.6333824,2014,4,,,
2018,2018_114,Korea Republic,0,0,0,0,2018-06-18,Stadion Nizhny Novgorod,,,2018,-1,,,
2018,2018_100,Korea Republic,0,1,0,1,2018-06-23,Rostov Arena,,,2018,5,,,
2018,2018_84,Korea Republic,0,2,0,0,2018-06-27,Kazan Arena,55.7946485,49.1115022,2018,4,,,
2022,2022_49,Korea Republic,0,0,0,0,2022-11-24,Education City Stadium,25.0819602,51.158416,2022,-1,,,
2022,2022_33,Korea Republic,0,2,2,1,2022-11-28,Education City Stadium,25.0819602,51.158416,2022,4,25.0819602,51.158416,0.0
2022,2022_16,Korea Republic,1,1,1,0,2022-12-02,Education City Stadium,25.0819602,51.158416,2022,4,25.0819602,51.158416,0.0
2022,2022_11,Korea Republic,0,1,3,0,2022-12-05,Stadium 974,,,2022,3,25.0819602,51.158416,
2002,2002_373,Mexico,0,0,0,0,2002-06-03,Denka Big Swan Stadium,,,2002,-1,,,
2002,2002_355,Mexico,1,1,1,0,2002-06-09,Sapporo Dome,,,2002,6,,,
2002,2002_342,Mexico,1,0,0,1,2002-06-13,Ōita Bank Dome,,,2002,4,,,
2002,2002_330,Mexico,0,0,1,1,2002-06-17,Jeonju World Cup Stadium,35.8237631,127.1472805,2002,4,,,
2006,2006_313,Mexico,1,2,1,0,2006-06-11,Max-Morlock-Stadion,,,2006,-1,,,
2006,2006_299,Mexico,0,0,0,0,2006-06-16,HDI-Arena,,,2006,5,,,
2006,2006_280,Mexico,1,0,1,0,2006-06-21,Veltins-Arena,,,2006,5,,,
2006,2006_271,Mexico,1,0,1,0,2006-06-24,Red Bull Arena,,,2006,3,,,
2010,2010_254,Mexico,0,1,0,1,2010-06-11,Soccer City,-26.205,28.049722,2010,-1,,,
2010,2010_238,Mexico,0,1,0,0,2010-06-17,Peter Mokaba Stadium,,,2010,6,-26.205,28.049722,
2010,2010_220,Mexico,0,0,1,0,2010-06-22,Royal Bafokeng Stadium,-25.3487816,27.0950203,2010,5,,,
2010,2010_205,Mexico,0,1,2,1,2010-06-27,Soccer City,-26.205,28.049722,2010,5,-25.3487816,27.0950203,134.9163031773806
2014,2014_188,Mexico,0,1,0,0,2014-06-13,Arena das Dunas,,,2014,-1,,,
2014,2014_176,Mexico,0,0,0,0,2014-06-17,Estádio Castelão,,,2014,4,,,
2014,2014_158,Mexico,0,3,0,1,2014-06-23,Itaipava Arena Pernambuco,,,2014,6,,,
2014,2014_140,Mexico,0,1,0,1,2014-06-29,Estádio Castelão,,,2014,6,,,
2018,2018_118,Mexico,1,0,0,0,2018-06-17,Olimpiyskiy stadion Luzhniki,,,2018,-1,,,
2018,2018_100,Mexico,0,1,0,1,2018-06-23,Rostov Arena,,,2018,6,,,
2018,2018_85,Mexico,0,0,0,1,2018-06-27,Stadion Central'nyj,,,2018,4,,,
2018,2018_74,Mexico,0,0,0,2,2018-07-02,Cosmos Arena,,,2018,5,,,
2022,2022_58,Mexico,0,0,0,0,2022-11-22,Stadium 974,,,2022,-1,,,
2022,2022_43,Mexico,0,0,0,2,2022-11-26,Lusail Iconic Stadium,,,2022,4,,,
2022,2022_26,Mexico,0,2,0,1,2022-11-30,Lusail Iconic Stadium,,,2022,4,,,
2018,2018_125,Morocco,0,0,0,0,2018-06-15,Gazprom Arena,,,2018,-1,,,
2018,2018_108,Morocco,0,0,1,0,2018-06-20,Olimpiyskiy stadion Luzhniki,,,2018,5,,,
2018,2018_94,Morocco,1,1,1,1,2018-06-25,Kaliningrad Stadium,54.710128,20.5105838,2018,5,,,
2022,2022_52,Morocco,0,0,0,0,2022-11-23,Al Bayt Stadium,25.7567822,51.3269839,2022,-1,,,
2022,2022_37,Morocco,0,2,0,0,2022-11-27,Al Thumama Stadium,25.3108807,51.5081812,2022,4,25.7567822,51.3269839,52.809998202766636
2022,2022_20,Morocco,2,0,0,0,2022-12-01,Al Thumama Stadium,25.3108807,51.5081812,2022,4,25.3108807,51.5081812,0.0
2022,2022_8,Morocco,0,0,0,0,2022-12-06,Education City Stadium,25.0819602,51.158416,2022,5,25.3108807,51.5081812,43.43267385096884
2022,2022_4,Morocco,1,0,0,0,2022-12-10,Al Thumama Stadium,25.3108807,51.5081812,2022,4,25.0819602,51.158416,43.43267385096884
2022,2022_2,Morocco,0,0,1,1,2022-12-14,Al Bayt Stadium,25.7567822,51.3269839,2022,4,25.3108807,51.5081812,52.809998202766636
2022,2022_1,Morocco,1,0,2,0,2022-12-17,Khalifa International Stadium,25.3108807,51.5081812,2022,3,25.7567822,51.3269839,52.809998202766636
2006,2006_312,Netherlands,1,0,0,0,2006-06-11,Red Bull Arena,,,2006,-1,,,
2006,2006_298,Netherlands,2,0,1,0,2006-06-16,Mercedes-Benz Arena,,,2006,5,,,
2006,2006_283,Netherlands,0,0,0,0,2006-06-21,Commerzbank-Arena,,,2006,5,,,
2006,2006_269,Netherlands,0,0,1,0,2006-06-25,Max-Morlock-Stadion,,,2006,4,,,
2010,2010_245,Netherlands,0,1,0,0,2010-06-14,Soccer City,-26.205,28.049722,2010,-1,,,
2010,2010_230,Netherlands,0,1,0,0,2010-06-19,Moses Mabhida Stadium,-29.861825,31.009909,2010,5,-26.205,28.049722,499.69571323952306
2010,2010_215,Netherlands,1,1,0,0,2010-06-24,Cape Town Stadium,,,2010,5,-29.861825,31.009909,
2010,2010_202,Netherlands,1,1,0,0,2010-06-28,Moses Mabhida Stadium,-29.861825,31.009909,2010,4,,,
2010,2010_198,Netherlands,0,2,1,0,2010-07-02,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,4,-29.861825,31.009909,683.0140719460456
2010,2010_195,Netherlands,1,2,1,1,2010-07-06,Cape Town Stadium,,,2010,4,-33.9618598,25.6186731,
2010,2010_192,Netherlands,0,0,0,1,2010-07-11,Soccer City,-26.205,28.049722,2010,5,,,
2014,2014_189,Netherlands,1,4,0,0,2014-06-13,Itaipava Arena Fonte Nova,,,2014,-1,,,
2014,2014_172,Netherlands,1,2,1,0,2014-06-18,Estádio José Pinheiro Borba,,,2014,5,,,
2014,2014_157,Netherlands,0,2,0,0,2014-06-23,Arena Corinthians,-23.5506507,-46.6333824,2014,5,,,
2014,2014_140,Netherlands,0,1,0,1,2014-06-29,Estádio Castelão,,,2014,6,-23.5506507,-46.6333824,
2014,2014_133,Netherlands,0,0,0,0,2014-07-05,Itaipava Arena Fonte Nova,,,2014,6,,,
2014,2014_130,Netherlands,0,0,0,0,2014-07-09,Arena Corinthians,-23.5506507,-46.6333824,2014,4,,,
2014,2014_129,Netherlands,1,1,0,0,2014-07-12,Estádio Nacional de Brasília,,,2014,3,-23.5506507,-46.6333824,
2022,2022_61,Netherlands,0,2,0,0,2022-11-21,Al Thumama Stadium,25.3108807,51.5081812,2022,-1,,,
2022,2022_46,Netherlands,1,0,0,1,2022-11-25,Khalifa International Stadium,25.3108807,51.5081812,2022,4,25.3108807,51.5081812,0.0
2022,2022_29,Netherlands,1,1,0,0,2022-11-29,Al Bayt Stadium,25.7567822,51.3269839,2022,4,25.3108807,51.5081812,52.809998202766636
2022,2022_14,Netherlands,2,1,0,1,2022-12-03,Khalifa International Stadium,25.3108807,51.5081812,2022,4,25.7567822,51.3269839,52.809998202766636
2022,2022_7,Netherlands,0,2,1,0,2022-12-09,Lusail Iconic Stadium,,,2022,6,25.3108807,51.5081812,
2010,2010_242,New Zealand,0,1,0,1,2010-06-15,Royal Bafokeng Stadium,-25.3487816,27.0950203,2010,-1,,,
2010,2010_228,New Zealand,1,0,0,0,2010-06-20,Mbombela Stadium,-25.4729094,30.9772719,2010,5,-25.3487816,27.0950203,390.1531094025166
2010,2010_212,New Zealand,0,0,0,0,2010-06-24,Peter Mokaba Stadium,,,2010,4,-25.4729094,30.9772719,
2002,2002_376,Nigeria,0,0,0,1,2002-06-02,Kashima Soccer Stadium,,,2002,-1,,,
2002,2002_361,Nigeria,1,0,1,0,2002-06-07,NOEVIR Stadium Kobe,,,2002,5,,,
2002,2002_345,Nigeria,0,0,0,0,2002-06-12,Yanmar Stadium Nagai,,,2002,5,,,
2010,2010_252,Nigeria,0,0,1,0,2010-06-12,Emirates Airline Park,,,2010,-1,,,
2010,2010_237,Nigeria,1,0,1,1,2010-06-17,Toyota Stadium,,,2010,5,,,
2010,2010_222,Nigeria,1,0,1,1,2010-06-22,Moses Mabhida Stadium,-29.861825,31.009909,2010,5,,,
2014,2014_179,Nigeria,0,0,0,0,2014-06-16,Estádio Joaquim Américo Guimarães,,,2014,-1,,,
2014,2014_165,Nigeria,1,0,0,0,2014-06-21,Arena Pantanal,,,2014,5,,,
2014,2014_149,Nigeria,1,1,2,1,2014-06-25,Estádio José Pinheiro Borba,,,2014,4,,,
2014,2014_138,Nigeria,0,0,0,1,2014-06-30,Estádio Nacional de Brasília,,,2014,5,,,
2018,2018_123,Nigeria,0,0,0,0,2018-06-16,Kaliningrad Stadium,54.710128,20.5105838,2018,-1,,,
2018,2018_103,Nigeria,0,2,0,0,2018-06-22,Volgograd Arena,,,2018,6,54.710128,20.5105838,
2018,2018_91,Nigeria,0,0,1,1,2018-06-26,Gazprom Arena,,,2018,4,,,
2018,2018_115,Panama,0,0,0,3,2018-06-18,Olimpiyskiy Stadion Fisht,,,2018,-1,,,
2018,2018_96,Panama,0,1,3,1,2018-06-24,Stadion Nizhny Novgorod,,,2018,6,,,
2018,2018_83,Panama,0,0,0,2,2018-06-28,Mordovia Arena,,,2018,4,,,
2002,2002_377,Paraguay,1,1,0,1,2002-06-02,Busan Sport Complex Asiad Stadium,,,2002,-1,,,
2002,2002_362,Paraguay,0,0,0,2,2002-06-07,Jeonju World Cup Stadium,35.8237631,127.1472805,2002,5,,,
2002,2002_347,Paraguay,0,3,1,0,2002-06-12,Jeju World Cup Stadium,,,2002,5,35.8237631,127.1472805,
2002,2002_334,Paraguay,0,0,0,1,2002-06-15,Jeju World Cup Stadium,,,2002,3,,,
2006,2006_315,Paraguay,0,0,0,0,2006-06-10,Commerzbank-Arena,,,2006,-1,,,
2006,2006_302,Paraguay,0,0,0,1,2006-06-15,Olympiastadion Berlin,52.5173885,13.3951309,2006,5,,,
2006,2006_286,Paraguay,0,1,0,0,2006-06-20,Fritz-Walter-Stadion,,,2006,5,52.5173885,13.3951309,
2010,2010_247,Paraguay,1,0,0,1,2010-06-14,Cape Town Stadium,,,2010,-1,,,
2010,2010_227,Paraguay,1,1,0,0,2010-06-20,Toyota Stadium,,,2010,6,,,
2010,2010_212,Paraguay,0,0,0,0,2010-06-24,Peter Mokaba Stadium,,,2010,4,,,
2010,2010_200,Paraguay,0,0,0,0,2010-06-29,Loftus Versfeld Stadium,,,2010,5,,,
2010,2010_197,Paraguay,0,0,0,1,2010-07-03,Emirates Airline Park,,,2010,4,,,
2018,2018_122,Peru,0,0,0,1,2018-06-16,Mordovia Arena,,,2018,-1,,,
2018,2018_106,Peru,0,0,1,0,2018-06-21,Stadion Central'nyj,,,2018,5,,,
2018,2018_88,Peru,1,1,0,0,2018-06-26,Olimpiyskiy Stadion Fisht,,,2018,5,,,
2002,2002_372,Poland,0,0,1,1,2002-06-04,Busan Sport Complex Asiad Stadium,,,2002,-1,,,
2002,2002_354,Poland,0,0,1,3,2002-06-10,Jeonju World Cup Stadium,35.8237631,127.1472805,2002,6,,,
2002,2002_339,Poland,2,1,0,1,2002-06-14,Daejeon World Cup Stadium,,,2002,4,35.8237631,127.1472805,
2006,2006_319,Poland,0,0,1,1,2006-06-09,Veltins-Arena,,,2006,-1,,,
2006,2006_305,Poland,0,0,0,1,2006-06-14,Signal Iduna Park,51.5142273,7.4652789,2006,5,,,
2006,2006_284,Poland,1,1,1,0,2006-06-20,HDI-Arena,,,2006,6,51.5142273,7.4652789,
2018,2018_112,Poland,0,1,0,1,2018-06-19,Otkrytie Arena,,,2018,-1,,,
2018,2018_98,Poland,0,0,1,2,2018-06-24,Kazan Arena,55.7946485,49.1115022,2018,5,,,
2018,2018_80,Poland,0,1,0,0,2018-06-28,Volgograd Arena,,,2018,4,55.7946485,49.1115022,
2022,2022_58,Poland,0,0,0,0,2022-11-22,Stadium 974,,,2022,-1,,,
2022,2022_41,Poland,1,1,0,0,2022-11-26,Education City Stadium,25.0819602,51.158416,2022,4,,,
2022,2022_27,Poland,0,0,0,2,2022-11-30,Stadium 974,,,2022,4,25.0819602,51.158416,
2022,2022_12,Poland,0,0,1,2,2022-12-04,Al Thumama Stadium,25.3108807,51.5081812,2022,4,,,
2002,2002_368,Portugal,1,0,2,0,2002-06-05,Suwon World Cup Stadium,37.2633325,127.0287472,2002,-1,,,
2002,2002_354,Portugal,1,3,0,0,2002-06-10,Jeonju World Cup Stadium,35.8237631,127.1472805,2002,5,37.2633325,127.0287472,160.42262755200363
2002,2002_338,Portugal,0,0,0,1,2002-06-14,Incheon Munhak Stadium,,,2002,4,35.8237631,127.1472805,
2006,2006_314,Portugal,1,0,0,0,2006-06-11,RheinEnergieSTADION,,,2006,-1,,,
2006,2006_294,Portugal,0,1,0,0,2006-06-17,Commerzbank-Arena,,,2006,6,,,
2006,2006_280,Portugal,1,0,1,0,2006-06-21,Veltins-Arena,,,2006,4,,,
2006,2006_269,Portugal,1,0,0,0,2006-06-25,Max-Morlock-Stadion,,,2006,4,,,
2006,2006_260,Portugal,0,0,0,0,2006-07-01,Veltins-Arena,,,2006,6,,,
2006,2006_258,Portugal,0,0,0,0,2006-07-05,Allianz Arena,48.1371079,11.5753822,2006,4,,,
2006,2006_257,Portugal,0,1,0,2,2006-07-08,Mercedes-Benz Arena,,,2006,3,48.1371079,11.5753822,
2010,2010_243,Portugal,0,0,0,0,2010-06-15,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,-1,,,
2010,2010_224,Portugal,1,6,0,0,2010-06-21,Cape Town Stadium,,,2010,6,-33.9618598,25.6186731,
2010,2010_208,Portugal,0,0,0,0,2010-06-25,Moses Mabhida Stadium,-29.861825,31.009909,2010,4,,,
2010,2010_201,Portugal,0,0,0,1,2010-06-29,Cape Town Stadium,,,2010,4,-29.861825,31.009909,
2014,2014_178,Portugal,0,0,2,1,2014-06-16,Itaipava Arena Fonte Nova,,,2014,-1,,,
2014,2014_162,Portugal,1,1,0,2,2014-06-22,Arena da Amazônia,,,2014,6,,,
2014,2014_145,Portugal,0,1,0,1,2014-06-26,Estádio Nacional de Brasília,,,2014,4,,,
2018,2018_126,Portugal,1,1,1,2,2018-06-15,Olimpiyskiy Stadion Fisht,,,2018,-1,,,
2018,2018_108,Portugal,1,0,0,0,2018-06-20,Olimpiyskiy stadion Luzhniki,,,2018,5,,,
2018,2018_95,Portugal,1,0,0,0,2018-06-25,Mordovia Arena,,,2018,5,,,
2018,2018_79,Portugal,0,1,1,1,2018-06-30,Olimpiyskiy Stadion Fisht,,,2018,5,,,
2022,2022_50,Portugal,0,2,0,2,2022-11-24,Stadium 974,,,2022,-1,,,
2022,2022_35,Portugal,0,1,0,0,2022-11-28,Lusail Iconic Stadium,,,2022,4,,,
2022,2022_16,Portugal,1,0,1,1,2022-12-02,Education City Stadium,25.0819602,51.158416,2022,4,,,
2022,2022_9,Portugal,2,4,0,1,2022-12-06,Lusail Iconic Stadium,,,2022,4,25.0819602,51.158416,
2022,2022_4,Portugal,0,0,1,0,2022-12-10,Al Thumama Stadium,25.3108807,51.5081812,2022,4,,,
2022,2022_63,Qatar,0,0,1,0,2022-11-20,Al Bayt Stadium,25.7567822,51.3269839,2022,-1,,,
2022,2022_45,Qatar,0,1,1,2,2022-11-25,Al Thumama Stadium,25.3108807,51.5081812,2022,5,25.7567822,51.3269839,52.809998202766636
2022,2022_29,Qatar,0,0,1,1,2022-11-29,Al Bayt Stadium,25.7567822,51.3269839,2022,4,25.3108807,51.5081812,52.809998202766636
2002,2002_380,Republic of Ireland,0,1,1,0,2002-06-01,Denka Big Swan Stadium,,,2002,-1,,,
2002,2002_369,Republic of Ireland,0,1,1,0,2002-06-05,Kashima Soccer Stadium,,,2002,4,,,
2002,2002_350,Republic of Ireland,1,2,0,0,2002-06-11,Nissan Stadium,,,2002,6,,,
2002,2002_333,Republic of Ireland,0,0,1,0,2002-06-16,Suwon World Cup Stadium,37.2633325,127.0287472,2002,5,,,
2002,2002_367,Russia,0,1,0,0,2002-06-05,NOEVIR Stadium Kobe,,,2002,-1,,,
2002,2002_357,Russia,0,0,0,1,2002-06-09,Nissan Stadium,,,2002,4,,,
2002,2002_337,Russia,0,2,1,2,2002-06-14,Shizuoka Stadium Ecopa,,,2002,5,,,
2014,2014_177,Russia,0,1,0,1,2014-06-17,Arena Pantanal,,,2014,-1,,,
2014,2014_160,Russia,0,0,0,1,2014-06-22,Estadio Jornalista Mário Filho,,,2014,5,,,
