year,match_id,team,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h,date,stadium_name,latitude,longitude,wc_year,rest_days,prev_lat,prev_lon,travel_km
2014,2014_147,Russia,1,0,0,1,2014-06-26,Estádio Joaquim Américo Guimarães,,,2014,4,,,
2018,2018_127,Russia,2,3,0,0,2018-06-14,Olimpiyskiy stadion Luzhniki,,,2018,-1,,,
2018,2018_113,Russia,0,2,0,0,2018-06-19,Gazprom Arena,,,2018,5,,,
2018,2018_93,Russia,0,0,1,1,2018-06-25,Cosmos Arena,,,2018,6,,,
2018,2018_76,Russia,0,0,0,0,2018-07-01,Olimpiyskiy stadion Luzhniki,,,2018,6,,,
2018,2018_69,Russia,1,1,1,1,2018-07-07,Olimpiyskiy Stadion Fisht,,,2018,6,,,
2002,2002_382,Saudi Arabia,0,0,4,4,2002-06-01,Sapporo Dome,,,2002,-1,,,
2002,2002_365,Saudi Arabia,0,0,0,1,2002-06-06,Saitama Stadium 2002,,,2002,5,,,
2002,2002_350,Saudi Arabia,0,0,1,2,2002-06-11,Nissan Stadium,,,2002,5,,,
2006,2006_304,Saudi Arabia,0,2,1,1,2006-06-14,Allianz Arena,48.1371079,11.5753822,2006,-1,,,
2006,2006_289,Saudi Arabia,0,0,2,2,2006-06-19,Volksparkstadion,,,2006,5,48.1371079,11.5753822,
2006,2006_272,Saudi Arabia,0,0,1,0,2006-06-23,Fritz-Walter-Stadion,,,2006,4,,,
2018,2018_127,Saudi Arabia,0,0,2,3,2018-06-14,Olimpiyskiy stadion Luzhniki,,,2018,-1,,,
2018,2018_109,Saudi Arabia,0,0,1,0,2018-06-20,Rostov Arena,,,2018,6,,,
2018,2018_92,Saudi Arabia,0,1,1,0,2018-06-25,Volgograd Arena,,,2018,5,,,
2022,2022_56,Saudi Arabia,0,2,0,0,2022-11-22,Lusail Iconic Stadium,,,2022,-1,,,
2022,2022_41,Saudi Arabia,0,0,1,1,2022-11-26,Education City Stadium,25.0819602,51.158416,2022,4,,,
2022,2022_26,Saudi Arabia,0,1,0,2,2022-11-30,Lusail Iconic Stadium,,,2022,4,25.0819602,51.158416,
2002,2002_383,Senegal,1,0,0,0,2002-05-31,Seoul World Cup Stadium,37.5666791,126.9782914,2002,-1,,,
2002,2002_364,Senegal,0,1,0,0,2002-06-06,Daegu Main Stadium,,,2002,6,37.5666791,126.9782914,
2002,2002_349,Senegal,3,0,0,2,2002-06-11,Suwon World Cup Stadium,37.2633325,127.0287472,2002,5,,,
2002,2002_332,Senegal,1,1,1,0,2002-06-16,Ōita Bank Dome,,,2002,5,37.2633325,127.0287472,
2002,2002_325,Senegal,0,0,0,1,2002-06-22,Yanmar Stadium Nagai,,,2002,6,,,
2018,2018_112,Senegal,0,1,0,1,2018-06-19,Otkrytie Arena,,,2018,-1,,,
2018,2018_97,Senegal,1,1,1,1,2018-06-24,Stadion Central'nyj,,,2018,5,,,
2018,2018_81,Senegal,0,0,0,1,2018-06-28,Cosmos Arena,,,2018,4,,,
2022,2022_61,Senegal,0,0,0,2,2022-11-21,Al Thumama Stadium,25.3108807,51.5081812,2022,-1,,,
2022,2022_45,Senegal,1,2,0,1,2022-11-25,Al Thumama Stadium,25.3108807,51.5081812,2022,4,25.3108807,51.5081812,0.0
2022,2022_28,Senegal,0,1,0,1,2022-11-29,Khalifa International Stadium,25.3108807,51.5081812,2022,4,25.3108807,51.5081812,0.0
2022,2022_13,Senegal,0,0,2,1,2022-12-04,Al Bayt Stadium,25.7567822,51.3269839,2022,5,25.3108807,51.5081812,52.809998202766636
2010,2010_249,Serbia,0,0,0,0,2010-06-13,Loftus Versfeld Stadium,,,2010,-1,,,
2010,2010_233,Serbia,1,0,0,0,2010-06-18,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,5,,,
2010,2010_219,Serbia,0,1,0,2,2010-06-23,Mbombela Stadium,-25.4729094,30.9772719,2010,5,-33.9618598,25.6186731,1075.9981043316666
2018,2018_117,Serbia,0,1,0,0,2018-06-17,Cosmos Arena,,,2018,-1,,,
2018,2018_104,Serbia,1,0,0,2,2018-06-22,Kaliningrad Stadium,54.710128,20.5105838,2018,5,,,
2018,2018_87,Serbia,0,0,1,1,2018-06-27,Otkrytie Arena,,,2018,5,54.710128,20.5105838,
2022,2022_51,Serbia,0,0,0,2,2022-11-24,Lusail Iconic Stadium,,,2022,-1,,,
2022,2022_32,Serbia,2,1,1,2,2022-11-28,Al Janoub Stadium,25.0037453,51.4103338,2022,4,,,
2022,2022_19,Serbia,2,0,2,1,2022-12-02,Stadium 974,,,2022,4,25.0037453,51.4103338,
2006,2006_312,Serbia and Montenegro,0,0,1,0,2006-06-11,Red Bull Arena,,,2006,-1,,,
2006,2006_297,Serbia and Montenegro,0,0,3,3,2006-06-16,Veltins-Arena,,,2006,5,,,
2006,2006_282,Serbia and Montenegro,3,0,0,1,2006-06-21,Allianz Arena,48.1371079,11.5753822,2006,5,,,
2010,2010_242,Slovakia,0,1,0,1,2010-06-15,Royal Bafokeng Stadium,-25.3487816,27.0950203,2010,-1,,,
2010,2010_227,Slovakia,0,0,1,1,2010-06-20,Toyota Stadium,,,2010,5,-25.3487816,27.0950203,
2010,2010_213,Slovakia,1,2,0,2,2010-06-24,Emirates Airline Park,,,2010,4,,,
2010,2010_202,Slovakia,0,0,1,1,2010-06-28,Moses Mabhida Stadium,-29.861825,31.009909,2010,4,,,
2002,2002_379,Slovenia,0,1,1,1,2002-06-02,Guus Hiddink Stadium,,,2002,-1,,,
2002,2002_358,Slovenia,0,0,1,0,2002-06-08,Daegu Main Stadium,,,2002,6,,,
2002,2002_347,Slovenia,1,0,0,3,2002-06-12,Jeju World Cup Stadium,,,2002,4,,,
2010,2010_248,Slovenia,0,1,0,0,2010-06-13,Peter Mokaba Stadium,,,2010,-1,,,
2010,2010_234,Slovenia,2,0,0,2,2010-06-18,Emirates Airline Park,,,2010,5,,,
2010,2010_216,Slovenia,0,0,1,0,2010-06-23,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,5,,,
2002,2002_377,South Africa,0,1,1,1,2002-06-02,Busan Sport Complex Asiad Stadium,,,2002,-1,,,
2002,2002_358,South Africa,1,0,0,0,2002-06-08,Daegu Main Stadium,,,2002,6,,,
2002,2002_346,South Africa,1,1,2,1,2002-06-12,Daejeon World Cup Stadium,,,2002,4,,,
2010,2010_254,South Africa,0,1,0,1,2010-06-11,Soccer City,-26.205,28.049722,2010,-1,,,
2010,2010_241,South Africa,0,0,1,1,2010-06-16,Loftus Versfeld Stadium,,,2010,5,-26.205,28.049722,
2010,2010_221,South Africa,2,0,0,1,2010-06-22,Toyota Stadium,,,2010,6,,,
2002,2002_379,Spain,1,1,0,1,2002-06-02,Guus Hiddink Stadium,,,2002,-1,,,
2002,2002_362,Spain,0,2,0,0,2002-06-07,Jeonju World Cup Stadium,35.8237631,127.1472805,2002,5,,,
2002,2002_346,Spain,2,1,1,1,2002-06-12,Daejeon World Cup Stadium,,,2002,5,35.8237631,127.1472805,
2002,2002_333,Spain,1,0,0,0,2002-06-16,Suwon World Cup Stadium,37.2633325,127.0287472,2002,4,,,
2002,2002_324,Spain,0,0,0,0,2002-06-22,Guus Hiddink Stadium,,,2002,6,37.2633325,127.0287472,
2006,2006_303,Spain,2,1,0,0,2006-06-14,Red Bull Arena,,,2006,-1,,,
2006,2006_290,Spain,0,2,1,0,2006-06-19,Mercedes-Benz Arena,,,2006,5,,,
2006,2006_272,Spain,1,0,0,0,2006-06-23,Fritz-Walter-Stadion,,,2006,4,,,
2006,2006_265,Spain,0,0,1,2,2006-06-27,HDI-Arena,,,2006,4,,,
2010,2010_240,Spain,0,0,0,1,2010-06-16,Moses Mabhida Stadium,-29.861825,31.009909,2010,-1,,,
2010,2010_226,Spain,1,1,0,0,2010-06-21,Emirates Airline Park,,,2010,5,-29.861825,31.009909,
2010,2010_210,Spain,2,0,0,1,2010-06-25,Loftus Versfeld Stadium,,,2010,4,,,
2010,2010_201,Spain,0,1,0,0,2010-06-29,Cape Town Stadium,,,2010,4,,,
2010,2010_197,Spain,0,1,0,0,2010-07-03,Emirates Airline Park,,,2010,4,,,
2010,2010_194,Spain,0,1,0,0,2010-07-07,Moses Mabhida Stadium,-29.861825,31.009909,2010,4,,,
2010,2010_192,Spain,0,1,0,0,2010-07-11,Soccer City,-26.205,28.049722,2010,4,-29.861825,31.009909,499.69571323952306
2014,2014_189,Spain,0,0,1,4,2014-06-13,Itaipava Arena Fonte Nova,,,2014,-1,,,
2014,2014_173,Spain,0,0,2,0,2014-06-18,Estadio Jornalista Mário Filho,,,2014,5,,,
2014,2014_156,Spain,1,2,0,0,2014-06-23,Estádio Joaquim Américo Guimarães,,,2014,5,,,
2018,2018_126,Spain,1,2,1,1,2018-06-15,Olimpiyskiy Stadion Fisht,,,2018,-1,,,
2018,2018_110,Spain,0,1,0,0,2018-06-20,Kazan Arena,55.7946485,49.1115022,2018,5,,,
2018,2018_94,Spain,1,1,1,1,2018-06-25,Kaliningrad Stadium,54.710128,20.5105838,2018,5,55.7946485,49.1115022,1803.697092066477
2018,2018_76,Spain,0,0,0,0,2018-07-01,Olimpiyskiy stadion Luzhniki,,,2018,6,54.710128,20.5105838,
2022,2022_54,Spain,2,4,0,0,2022-11-23,Al Thumama Stadium,25.3108807,51.5081812,2022,-1,,,
2022,2022_39,Spain,0,1,0,1,2022-11-27,Al Bayt Stadium,25.7567822,51.3269839,2022,4,25.3108807,51.5081812,52.809998202766636
2022,2022_23,Spain,1,0,0,2,2022-12-01,Khalifa International Stadium,25.3108807,51.5081812,2022,4,25.7567822,51.3269839,52.809998202766636
2022,2022_8,Spain,0,0,0,0,2022-12-06,Education City Stadium,25.0819602,51.158416,2022,5,25.3108807,51.5081812,43.43267385096884
2002,2002_378,Sweden,0,1,1,0,2002-06-02,Saitama Stadium 2002,,,2002,-1,,,
2002,2002_361,Sweden,1,0,1,0,2002-06-07,NOEVIR Stadium Kobe,,,2002,5,,,
2002,2002_344,Sweden,0,1,0,1,2002-06-12,Miyagi Stadium,,,2002,5,,,
2002,2002_332,Sweden,1,0,1,1,2002-06-16,Ōita Bank Dome,,,2002,4,,,
2006,2006_316,Sweden,0,0,0,0,2006-06-10,Signal Iduna Park,51.5142273,7.4652789,2006,-1,,,
2006,2006_302,Sweden,0,1,0,0,2006-06-15,Olympiastadion Berlin,52.5173885,13.3951309,2006,5,51.5142273,7.4652789,420.7185227549209
2006,2006_287,Sweden,0,2,1,1,2006-06-20,RheinEnergieSTADION,,,2006,5,52.5173885,13.3951309,
2006,2006_270,Sweden,0,0,2,0,2006-06-24,Allianz Arena,48.1371079,11.5753822,2006,4,,,
2018,2018_114,Sweden,0,0,0,0,2018-06-18,Stadion Nizhny Novgorod,,,2018,-1,,,
2018,2018_101,Sweden,1,0,0,2,2018-06-23,Olimpiyskiy Stadion Fisht,,,2018,5,,,
2018,2018_85,Sweden,0,1,0,0,2018-06-27,Stadion Central'nyj,,,2018,4,,,
2018,2018_72,Sweden,0,1,0,0,2018-07-03,Gazprom Arena,,,2018,6,,,
2018,2018_68,Sweden,0,0,1,1,2018-07-07,Cosmos Arena,,,2018,4,,,
2006,2006_307,Switzerland,0,0,0,0,2006-06-13,Mercedes-Benz Arena,,,2006,-1,,,
2006,2006_288,Switzerland,1,1,0,0,2006-06-19,Signal Iduna Park,51.5142273,7.4652789,2006,6,,,
2006,2006_275,Switzerland,1,1,0,0,2006-06-23,HDI-Arena,,,2006,4,51.5142273,7.4652789,
2006,2006_267,Switzerland,0,0,0,0,2006-06-26,RheinEnergieSTADION,,,2006,3,,,
2010,2010_240,Switzerland,0,1,0,0,2010-06-16,Moses Mabhida Stadium,-29.861825,31.009909,2010,-1,,,
2010,2010_225,Switzerland,0,0,0,1,2010-06-21,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,5,-29.861825,31.009909,683.0140719460456
2010,2010_211,Switzerland,0,0,0,0,2010-06-25,Toyota Stadium,,,2010,4,-33.9618598,25.6186731,
2014,2014_181,Switzerland,0,2,1,0,2014-06-15,Estádio Nacional de Brasília,,,2014,-1,,,
2014,2014_167,Switzerland,0,2,3,2,2014-06-20,Itaipava Arena Fonte Nova,,,2014,5,,,
2014,2014_150,Switzerland,2,1,0,0,2014-06-25,Arena da Amazônia,,,2014,5,,,
2014,2014_136,Switzerland,0,0,0,1,2014-07-01,Arena Corinthians,-23.5506507,-46.6333824,2014,6,,,
2018,2018_119,Switzerland,0,1,1,0,2018-06-17,Rostov Arena,,,2018,-1,,,
2018,2018_104,Switzerland,0,2,1,0,2018-06-22,Kaliningrad Stadium,54.710128,20.5105838,2018,5,,,
2018,2018_86,Switzerland,1,1,0,1,2018-06-27,Stadion Nizhny Novgorod,,,2018,5,54.710128,20.5105838,
2018,2018_72,Switzerland,0,0,0,1,2018-07-03,Gazprom Arena,,,2018,6,,,
2022,2022_48,Switzerland,0,1,0,0,2022-11-24,Al Janoub Stadium,25.0037453,51.4103338,2022,-1,,,
2022,2022_34,Switzerland,0,0,0,1,2022-11-28,Stadium 974,,,2022,4,25.0037453,51.4103338,
2022,2022_19,Switzerland,2,1,2,0,2022-12-02,Stadium 974,,,2022,4,,,
2022,2022_9,Switzerland,0,1,2,4,2022-12-06,Lusail Iconic Stadium,,,2022,4,,,
2006,2006_306,Togo,1,0,0,2,2006-06-13,Commerzbank-Arena,,,2006,-1,,,
2006,2006_288,Togo,0,0,1,1,2006-06-19,Signal Iduna Park,51.5142273,7.4652789,2006,6,,,
2006,2006_274,Togo,0,0,0,2,2006-06-23,RheinEnergieSTADION,,,2006,4,51.5142273,7.4652789,
2006,2006_316,Trinidad and Tobago,0,0,0,0,2006-06-10,Signal Iduna Park,51.5142273,7.4652789,2006,-1,,,
2006,2006_301,Trinidad and Tobago,0,0,0,2,2006-06-15,Max-Morlock-Stadion,,,2006,5,51.5142273,7.4652789,
2006,2006_286,Trinidad and Tobago,0,0,0,1,2006-06-20,Fritz-Walter-Stadion,,,2006,5,,,
2002,2002_367,Tunisia,0,0,0,1,2002-06-05,NOEVIR Stadium Kobe,,,2002,-1,,,
2002,2002_353,Tunisia,1,0,1,0,2002-06-10,Ōita Bank Dome,,,2002,5,,,
2002,2002_336,Tunisia,0,0,0,2,2002-06-14,Yanmar Stadium Nagai,,,2002,4,,,
2006,2006_304,Tunisia,1,1,0,2,2006-06-14,Allianz Arena,48.1371079,11.5753822,2006,-1,,,
2006,2006_290,Tunisia,1,0,0,2,2006-06-19,Mercedes-Benz Arena,,,2006,5,48.1371079,11.5753822,
2006,2006_273,Tunisia,0,0,0,0,2006-06-23,Olympiastadion Berlin,52.5173885,13.3951309,2006,4,,,
2018,2018_116,Tunisia,0,0,1,1,2018-06-18,Volgograd Arena,,,2018,-1,,,
2018,2018_99,Tunisia,1,1,2,2,2018-06-23,Otkrytie Arena,,,2018,5,,,
2018,2018_83,Tunisia,0,2,0,0,2018-06-28,Mordovia Arena,,,2018,5,,,
2022,2022_57,Tunisia,0,0,0,0,2022-11-22,Education City Stadium,25.0819602,51.158416,2022,-1,,,
2022,2022_40,Tunisia,0,0,1,0,2022-11-26,Al Janoub Stadium,25.0037453,51.4103338,2022,4,25.0819602,51.158416,26.827473283833054
2022,2022_25,Tunisia,0,1,0,0,2022-11-30,Education City Stadium,25.0819602,51.158416,2022,4,25.0037453,51.4103338,26.827473283833054
2002,2002_374,Türkiye,1,0,0,1,2002-06-03,Munsu Cup Stadium,,,2002,-1,,,
2002,2002_356,Türkiye,0,1,0,1,2002-06-09,Incheon Munhak Stadium,,,2002,6,,,
2002,2002_341,Türkiye,2,1,0,0,2002-06-13,Seoul World Cup Stadium,37.5666791,126.9782914,2002,4,,,
2002,2002_328,Türkiye,1,0,0,0,2002-06-18,Miyagi Stadium,,,2002,5,37.5666791,126.9782914,
2002,2002_325,Türkiye,0,1,0,0,2002-06-22,Yanmar Stadium Nagai,,,2002,4,,,
2002,2002_322,Türkiye,0,0,0,1,2002-06-26,Saitama Stadium 2002,,,2002,4,,,
2002,2002_321,Türkiye,3,0,1,1,2002-06-29,Daegu Main Stadium,,,2002,3,,,
2006,2006_303,Ukraine,0,0,2,1,2006-06-14,Red Bull Arena,,,2006,-1,,,
2006,2006_289,Ukraine,2,2,0,0,2006-06-19,Volksparkstadion,,,2006,5,,,
2006,2006_273,Ukraine,0,0,0,0,2006-06-23,Olympiastadion Berlin,52.5173885,13.3951309,2006,4,,,
2006,2006_267,Ukraine,0,0,0,0,2006-06-26,RheinEnergieSTADION,,,2006,3,52.5173885,13.3951309,
2006,2006_263,Ukraine,0,0,1,2,2006-06-30,Volksparkstadion,,,2006,4,,,
2002,2002_368,United States,2,0,1,0,2002-06-05,Suwon World Cup Stadium,37.2633325,127.0287472,2002,-1,,,
2002,2002_352,United States,1,0,0,1,2002-06-10,Daegu Main Stadium,,,2002,5,37.2633325,127.0287472,
2002,2002_339,United States,0,1,2,1,2002-06-14,Daejeon World Cup Stadium,,,2002,4,,,
2002,2002_330,United States,1,1,0,0,2002-06-17,Jeonju World Cup Stadium,35.8237631,127.1472805,2002,3,,,
2002,2002_327,United States,0,0,1,0,2002-06-21,Munsu Cup Stadium,,,2002,4,35.8237631,127.1472805,
2006,2006_310,United States,0,0,2,1,2006-06-12,Veltins-Arena,,,2006,-1,,,
2006,2006_296,United States,0,0,1,0,2006-06-17,Fritz-Walter-Stadion,,,2006,5,,,
2006,2006_276,United States,1,0,1,0,2006-06-22,Max-Morlock-Stadion,,,2006,5,,,
2010,2010_253,United States,1,0,1,0,2010-06-12,Royal Bafokeng Stadium,-25.3487816,27.0950203,2010,-1,,,
2010,2010_234,United States,0,2,2,0,2010-06-18,Emirates Airline Park,,,2010,6,-25.3487816,27.0950203,
2010,2010_217,United States,0,1,0,0,2010-06-23,Loftus Versfeld Stadium,,,2010,5,,,
2010,2010_207,United States,0,0,1,1,2010-06-26,Royal Bafokeng Stadium,-25.3487816,27.0950203,2010,3,,,
2014,2014_180,United States,1,1,0,1,2014-06-16,Arena das Dunas,,,2014,-1,,,
2014,2014_162,United States,0,2,1,1,2014-06-22,Arena da Amazônia,,,2014,6,,,
2014,2014_144,United States,0,0,0,1,2014-06-26,Itaipava Arena Pernambuco,,,2014,4,,,
2014,2014_137,United States,0,1,0,2,2014-07-01,Itaipava Arena Fonte Nova,,,2014,5,,,
2022,2022_62,United States,1,0,0,0,2022-11-21,Ahmed bin Ali Stadium,,,2022,-1,,,
2022,2022_47,United States,0,0,0,0,2022-11-25,Al Bayt Stadium,25.7567822,51.3269839,2022,4,,,
2022,2022_30,United States,1,0,0,0,2022-11-29,Al Thumama Stadium,25.3108807,51.5081812,2022,4,25.7567822,51.3269839,52.809998202766636
2022,2022_14,United States,0,1,2,1,2022-12-03,Khalifa International Stadium,25.3108807,51.5081812,2022,4,25.3108807,51.5081812,0.0
2002,2002_381,Uruguay,0,1,1,1,2002-06-01,Munsu Cup Stadium,,,2002,-1,,,
2002,2002_366,Uruguay,0,0,0,0,2002-06-06,Busan Sport Complex Asiad Stadium,,,2002,5,,,
2002,2002_349,Uruguay,0,2,3,0,2002-06-11,Suwon World Cup Stadium,37.2633325,127.0287472,2002,5,,,
2010,2010_255,Uruguay,0,0,0,0,2010-06-11,Cape Town Stadium,,,2010,-1,,,
2010,2010_241,Uruguay,1,1,0,0,2010-06-16,Loftus Versfeld Stadium,,,2010,5,,,
2010,2010_220,Uruguay,1,0,0,0,2010-06-22,Royal Bafokeng Stadium,-25.3487816,27.0950203,2010,6,,,
2010,2010_206,Uruguay,1,1,0,1,2010-06-26,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,4,-25.3487816,27.0950203,968.258126782039
2010,2010_199,Uruguay,0,1,1,0,2010-07-02,Soccer City,-26.205,28.049722,2010,6,-33.9618598,25.6186731,893.582323552711
2010,2010_195,Uruguay,1,1,1,2,2010-07-06,Cape Town Stadium,,,2010,4,-26.205,28.049722,
2010,2010_193,Uruguay,1,1,1,2,2010-07-10,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,4,,,
2014,2014_185,Uruguay,0,0,0,3,2014-06-14,Estádio Castelão,,,2014,-1,,,
2014,2014_170,Uruguay,1,1,0,1,2014-06-19,Arena Corinthians,-23.5506507,-46.6333824,2014,5,,,
2014,2014_153,Uruguay,0,1,0,0,2014-06-24,Arena das Dunas,,,2014,5,-23.5506507,-46.6333824,
2014,2014_143,Uruguay,0,0,1,1,2014-06-28,Estadio Jornalista Mário Filho,,,2014,4,,,
2018,2018_124,Uruguay,0,1,0,0,2018-06-15,Stadion Central'nyj,,,2018,-1,,,
2018,2018_109,Uruguay,1,0,0,0,2018-06-20,Rostov Arena,,,2018,5,,,
2018,2018_93,Uruguay,1,1,0,0,2018-06-25,Cosmos Arena,,,2018,5,,,
2018,2018_79,Uruguay,1,1,0,1,2018-06-30,Olimpiyskiy Stadion Fisht,,,2018,5,,,
2018,2018_70,Uruguay,0,0,1,1,2018-07-06,Stadion Nizhny Novgorod,,,2018,6,,,
2022,2022_49,Uruguay,0,0,0,0,2022-11-24,Education City Stadium,25.0819602,51.158416,2022,-1,,,
2022,2022_35,Uruguay,0,0,0,1,2022-11-28,Lusail Iconic Stadium,,,2022,4,25.0819602,51.158416,
2022,2022_17,Uruguay,2,0,0,0,2022-12-02,Al Janoub Stadium,25.0037453,51.4103338,2022,4,,,
2022,2022_62,Wales,0,0,1,0,2022-11-21,Ahmed bin Ali Stadium,,,2022,-1,,,
2022,2022_44,Wales,0,0,0,2,2022-11-25,Ahmed bin Ali Stadium,,,2022,4,,,
2022,2022_31,Wales,0,0,0,3,2022-11-29,Ahmed bin Ali Stadium,,,2022,4,,,
